Internet Speed test 19.October.2020

Time	Ping[ms]	Download[Mb/s]	Upload[Mb/s]
10:49	47.488	6.1	9.83
10:53	49.928	6.02	7.71
10:56	46.975	6.37	10.25
10:59	44.852	6.07	9.15
11:03	50.875	6.17	8.91
11:06	60.974	2.6	8.33
11:10	50.419	2.96	7.01
11:13	47.945	8.92	9.96
11:16	47.762	9.45	9.51
11:20	50.34	6.4	7.43
11:23	49.02	9.07	9.3
11:27	51.775	3.0	8.6
11:30	47.736	4.85	8.11
11:33	49.5	5.79	8.18
11:37	45.843	6.0	8.72
11:40	45.797	2.71	8.03
11:44	49.678	6.44	9.51
11:47	44.947	6.11	8.83
11:50	43.094	6.68	8.53
11:54	45.818	6.86	9.0
11:57	50.06	7.86	7.37
12:01	43.754	7.27	8.84
12:04	49.887	5.56	9.54
12:07	41.26	3.4	9.56
12:11	49.672	4.23	7.26
12:14	52.565	5.07	6.16
12:17	53.324	5.88	7.71
12:21	45.047	7.39	5.72
12:24	46.342	4.17	7.04
12:28	50.757	5.19	7.53
12:31	49.664	6.64	8.46
12:34	49.616	7.48	8.34
12:38	46.687	6.44	9.46
12:41	50.938	8.65	7.62
12:45	46.926	5.24	8.98
12:48	43.082	3.43	7.37
12:51	47.634	2.15	5.99
12:55	48.993	6.38	6.5
12:58	44.244	6.33	7.5
13:02	46.03	6.17	7.19
13:05	50.561	4.64	8.93
13:08	47.713	6.57	9.75
13:12	49.847	4.45	7.88
13:15	50.701	7.94	9.52
13:19	44.548	7.16	9.06
13:22	47.445	8.51	9.6
13:25	45.826	7.67	9.09
13:29	47.036	7.26	8.79
13:32	42.777	5.32	9.24
13:36	47.356	5.55	9.29
13:39	53.141	6.05	7.88
13:42	47.25	5.62	5.23
13:46	51.354	6.36	8.89
13:49	52.761	8.05	7.72
13:53	47.814	6.61	7.92
13:56	54.334	4.25	6.45
13:59	50.074	5.38	4.95
14:03	49.76	7.58	6.43
14:06	43.807	5.96	8.36
14:10	48.305	4.85	7.39
14:13	46.546	5.38	5.87
14:16	46.612	5.08	6.61
14:20	47.263	9.97	9.03
14:23	46.165	6.68	7.44
14:26	52.317	3.65	7.39
14:30	49.166	8.14	7.3
14:33	49.063	7.59	7.63
14:37	44.631	5.54	8.3
14:40	47.372	4.28	7.39
14:43	47.237	5.4	9.46
14:47	46.721	6.09	9.6
14:50	52.457	5.63	7.59
14:54	45.314	8.27	7.86
14:57	46.44	8.34	8.98
15:00	47.571	6.63	8.59
15:04	50.038	3.46	8.24
15:07	46.858	3.72	7.53
15:11	48.884	6.14	6.47
15:14	44.988	8.16	7.71
15:17	47.247	7.26	7.77
15:21	49.367	8.41	7.18
15:24	44.367	5.04	7.82
15:28	49.159	4.11	8.67
15:31	49.171	6.14	7.12
15:34	46.54	5.3	7.35
15:38	42.169	5.75	9.04
15:41	50.207	6.51	8.5
15:45	43.122	6.28	8.35
15:48	47.062	5.12	7.22
15:51	49.182	5.54	6.12
15:55	45.573	2.94	5.42
15:58	46.537	3.89	7.1
16:02	41.695	4.19	7.36
16:05	45.674	4.44	8.29
16:08	49.792	6.07	8.61
16:12	49.824	4.8	6.88
16:15	45.646	4.06	8.41
16:19	48.978	4.6	5.9
16:22	53.984	4.72	6.23
16:25	59.756	5.29	7.8
16:29	56.683	6.88	8.04
16:32	47.633	3.52	7.7
16:36	51.663	5.46	6.13
16:39	55.664	2.5	6.48
16:42	51.424	3.68	7.25
16:46	52.525	4.87	6.56
16:49	46.83	5.49	8.17
16:53	50.331	3.82	7.36
16:56	51.468	2.46	6.07
16:59	63.699	3.21	6.52
17:03	48.823	3.86	6.54
17:06	55.307	4.36	6.24
17:10	50.827	7.02	6.43
17:13	55.798	1.77	6.42
17:16	52.968	4.78	7.1
17:20	52.018	4.01	6.36
17:23	59.519	4.23	6.06
17:27	48.872	6.0	7.85
17:30	50.278	2.68	7.2
17:33	43.009	6.26	6.31
17:37	49.209	4.4	7.56
17:40	48.825	4.46	8.25
17:44	45.76	6.04	7.59
17:47	53.07	4.09	7.54
17:50	39.662	5.39	7.58
17:54	50.766	4.19	7.23
17:57	51.597	2.94	8.47
18:01	48.094	3.67	6.9
18:04	47.155	3.35	7.62
18:07	45.719	6.05	6.13
18:11	50.138	3.48	7.59
18:14	48.479	5.03	7.86
18:18	49.394	5.08	7.28
18:21	46.007	2.78	7.54
18:24	42.595	3.16	8.13
18:28	48.365	6.94	9.19
18:31	49.435	2.48	7.31
18:35	50.356	2.8	7.82
18:38	47.087	5.31	7.31
18:41	48.004	7.42	7.95
18:45	49.21	7.85	7.21
18:48	42.214	3.53	7.12
18:51	52.687	2.62	8.27
18:55	53.142	7.43	8.45
18:58	52.929	2.71	7.54
21:26	50.354	2.2	6.95
21:29	49.524	3.58	8.28
21:33	107.673	1.05	2.05
21:37	530.035	1.19	2.27
21:40	53.624	1.0	3.68
21:44	65.091	1.19	2.83
21:48	416.622	1.89	2.14
21:51	387.962	2.28	9.81
21:55	44.866	2.87	9.23
21:58	50.467	2.86	10.67
22:02	50.366	3.16	9.4
22:05	43.156	3.51	8.06
22:08	46.49	2.47	8.11
22:12	49.335	1.7	10.49
22:15	45.687	2.99	10.71
22:19	45.12	1.25	10.45
22:22	45.039	2.86	10.09
22:25	54.766	2.42	9.74
22:29	46.817	1.73	10.18
22:32	47.365	2.17	9.17
22:36	46.559	3.85	9.87
22:39	45.482	3.25	8.35
22:43	46.693	4.72	9.16
22:46	46.407	1.52	8.63
22:49	46.15	2.56	10.14
22:53	46.953	1.54	8.89
22:56	46.414	2.56	11.04
23:00	46.853	5.85	10.9
23:03	46.84	6.29	11.44
23:06	42.572	6.82	12.12
23:10	49.127	4.77	10.49
23:13	48.882	11.48	11.98
23:17	48.593	10.91	11.84
23:20	44.068	6.96	11.66
23:23	45.596	6.47	10.24
23:27	48.603	9.98	12.25
23:30	50.542	10.5	11.63
23:34	45.651	9.23	11.93
23:37	46.625	12.6	11.63
23:40	49.332	10.86	12.12
23:44	52.864	7.48	11.45
23:47	45.715	11.61	12.18
23:50	51.0	9.03	12.03
23:54	51.023	13.55	12.85
23:57	48.827	10.0	11.65
00:01	42.153	8.5	12.14
00:04	49.496	11.01	12.2
00:07	49.266	9.32	11.95
00:11	47.996	11.19	12.01
00:14	46.313	12.49	12.17
00:18	47.905	9.97	12.26
00:21	46.762	11.15	12.16
00:24	56.718	11.72	11.4
00:28	46.904	9.55	8.37
00:31	50.568	12.68	12.76
00:34	47.102	13.06	12.22
00:38	44.721	8.11	8.32
00:41	48.262	14.42	12.98
00:45	47.607	11.04	11.4
00:48	42.652	8.4	12.55
00:51	46.61	13.88	12.34
00:55	50.992	14.2	9.7
00:58	47.373	14.14	12.65
01:02	50.067	12.8	12.75
01:05	53.008	14.56	13.28
01:08	46.682	15.31	12.56
01:12	46.672	15.77	11.79
01:15	44.198	14.13	12.7
01:18	46.986	13.51	12.66
01:22	51.671	13.52	12.59
01:25	57.74	11.97	12.57
01:29	51.527	14.14	11.46
01:32	48.252	14.57	12.74
01:35	42.813	15.03	12.91
01:39	43.439	15.13	12.96
01:42	45.067	12.92	12.37
01:46	47.828	14.46	12.31
01:49	48.58	15.2	12.36
01:52	49.052	15.3	10.85
01:56	47.891	13.96	12.43
01:59	43.3	15.36	12.86
02:03	43.092	13.53	11.23
02:06	49.28	14.46	12.51
02:09	45.796	14.86	12.23
02:13	57.821	15.21	12.42
02:16	46.148	15.15	11.56
02:19	52.795	14.72	12.82
02:23	49.496	15.07	12.41
02:26	51.594	15.29	12.76
02:30	48.766	15.96	12.2
02:33	43.164	10.59	12.32
02:36	52.436	14.8	11.61
02:40	49.0	14.65	12.34
02:43	48.415	14.74	11.93
02:47	48.63	14.56	13.09
02:50	45.601	14.37	12.25
02:53	41.616	14.71	12.16
02:57	49.115	15.62	12.42
03:00	54.677	14.57	12.5
03:03	46.75	15.17	12.58
03:07	47.446	16.84	12.13
03:10	48.156	15.97	11.55
03:14	47.849	15.46	12.66
03:17	50.159	17.27	12.79
03:20	45.912	17.8	12.23
03:24	45.742	16.79	13.15
03:27	48.566	16.14	13.35
03:31	43.513	15.39	13.07
03:34	44.67	15.58	13.14
03:37	49.509	16.24	13.11
03:41	45.304	15.55	12.88
03:44	43.176	16.66	13.26
03:47	44.332	16.81	13.08
03:51	42.741	15.73	12.58
03:54	46.508	16.13	13.15
03:58	42.834	15.15	12.28
04:01	43.121	15.43	12.93
04:04	44.43	16.57	12.76
04:08	49.479	16.31	12.16
04:11	45.814	14.84	12.42
04:14	42.76	15.08	12.16
04:18	47.965	16.46	12.96
04:21	48.31	14.57	11.41
04:25	45.764	13.77	12.54
04:28	50.855	15.36	12.34
04:31	47.833	15.09	12.45
04:35	46.511	15.95	12.99
04:38	47.001	14.48	13.38
04:42	48.114	14.18	12.91
04:45	46.398	14.97	11.85
04:48	46.214	4.95	1.93
04:52	47.824	14.25	12.33
04:55	49.578	14.36	12.81
04:58	45.709	15.17	12.05
05:02	48.98	15.69	12.94
05:05	48.524	15.66	14.08
05:09	45.628	12.35	11.37
05:12	46.948	14.52	11.83
05:15	42.388	12.38	12.39
05:19	48.455	15.2	13.61
05:22	46.36	15.26	13.86
05:26	67.036	14.88	13.88
05:29	49.646	13.48	11.66
05:32	49.647	5.27	1.87
05:36	50.343	14.44	12.0
05:39	52.646	14.18	11.6
05:43	57.358	13.8	12.37
05:46	51.823	9.07	11.41
05:49	54.283	5.2	1.8
05:53	47.047	13.19	10.72
05:56	55.119	11.24	11.61
06:00	46.34	14.35	12.42
06:03	55.118	14.11	12.77
06:06	58.052	13.03	10.64
06:10	45.626	12.62	11.01
06:11	47.668	12.34	10.08
19:42	68.535	3.74	9.12
19:45	49.661	7.72	7.85
19:49	49.36	2.81	9.9
19:52	48.967	2.83	4.61
19:55	49.659	3.21	9.26
19:59	51.716	5.35	9.35
20:02	57.394	1.38	8.33
20:06	51.833	4.08	7.45
20:09	49.4	2.74	7.3
20:13	49.251	2.6	9.29
20:16	49.89	2.32	8.81
20:19	47.482	5.33	8.59
20:23	47.822	2.61	6.28
20:26	49.719	1.65	9.24
20:30	48.618	1.56	7.9
20:33	46.904	4.0	8.87
20:36	45.242	7.25	7.54
20:40	48.205	7.51	7.53
20:43	47.582	3.42	7.71
20:47	46.409	1.39	8.46
20:50	50.704	1.67	8.79
20:53	49.559	2.72	9.75
20:57	48.785	6.08	9.24
21:00	48.43	7.43	8.44
21:04	46.927	2.87	8.22
21:07	49.626	4.19	7.75
21:10	48.189	8.38	8.23
21:14	51.666	10.43	8.15
21:17	43.024	4.05	8.96
21:21	46.04	1.97	2.64
21:24	49.794	3.3	9.19
21:27	48.485	3.93	5.82
21:31	46.432	3.23	6.44
21:34	50.283	4.93	8.28
21:38	55.166	2.88	5.63
21:41	45.904	3.81	7.53
21:44	43.114	4.69	6.22
21:48	46.79	8.34	8.71
21:51	46.053	5.48	8.96
21:55	46.346	5.49	7.45
21:58	47.162	5.21	8.62
22:01	44.765	4.05	9.07
22:05	47.661	5.13	6.69
22:08	42.263	10.67	9.54
22:12	41.027	8.98	10.14
22:15	50.506	1.71	8.92
22:18	49.477	8.48	9.87
22:22	45.613	7.94	10.01
22:25	48.844	3.83	8.65
22:29	50.122	4.32	8.92
22:32	46.995	3.85	7.84
22:35	49.22	3.21	4.68
22:39	48.224	4.62	9.16
22:42	51.694	5.07	9.96
22:46	50.009	1.85	7.77
22:49	48.788	5.8	8.58
22:52	45.603	5.64	9.17
22:56	41.014	4.26	9.3
22:59	48.912	5.31	8.88
23:03	51.143	5.19	9.22
23:06	45.08	4.56	9.09
23:09	51.974	4.88	9.29
23:13	49.116	2.68	9.8
23:16	48.552	10.58	10.23
23:20	45.65	10.51	10.24
23:23	48.851	8.4	9.9
23:26	48.137	2.79	9.87
23:30	50.222	11.29	9.23
23:33	46.781	10.08	9.23
23:37	46.173	4.66	10.85
23:40	51.575	12.53	9.88
23:43	44.266	6.81	9.78
23:47	46.039	11.83	9.08
23:50	51.155	13.9	10.18
23:53	41.492	11.25	11.35
23:57	48.609	14.04	8.81
00:00	50.029	12.72	8.45
00:04	48.878	9.43	10.95
00:07	43.236	9.85	11.75
00:10	45.796	10.53	11.55
00:14	45.488	10.69	12.08
00:17	49.818	17.21	10.51
00:21	48.613	10.48	11.96
00:24	46.942	9.38	10.73
00:27	45.85	9.56	10.88
00:31	49.462	9.11	7.79
00:34	49.318	10.86	11.73
00:38	50.831	10.37	4.85
00:41	46.153	17.83	10.59
00:44	45.132	18.35	10.09
00:48	48.6	17.76	9.78
00:51	48.134	16.49	9.78
00:55	42.792	8.82	8.58
00:58	44.318	17.95	9.81
01:01	48.613	17.26	10.04
01:05	49.475	18.4	9.98
01:08	48.898	13.48	11.4
01:11	46.327	12.74	9.53
01:15	42.897	7.38	10.71
01:18	42.897	12.08	12.07
01:22	46.484	11.82	10.99
01:25	47.153	16.1	10.07
01:28	43.434	16.71	10.14
01:32	43.614	17.06	10.21
01:35	49.644	17.86	10.02
01:39	49.142	14.39	12.29
01:42	42.914	18.62	10.58
01:45	42.294	16.29	10.04
01:49	48.433	14.59	12.26
01:52	48.325	18.07	11.11
01:55	43.057	14.71	12.55
01:59	40.268	19.0	10.09
02:02	41.554	13.36	11.46
02:06	47.58	17.46	10.53
02:09	41.786	13.16	12.33
02:12	49.252	20.0	10.16
02:16	41.226	15.74	12.74
02:19	48.295	14.52	12.92
02:23	45.347	3.18	4.87
02:26	41.38	15.48	12.67
02:29	42.924	13.85	12.38
02:33	43.676	14.39	13.14
02:36	48.378	16.05	12.84
02:39	41.433	15.41	13.01
02:43	42.936	17.6	12.69
02:46	42.488	15.71	13.0
02:50	41.425	17.46	13.11
02:53	41.089	15.98	13.5
02:56	44.902	15.7	12.5
03:00	44.607	5.31	1.8
03:03	43.016	15.2	13.06
03:07	41.781	16.92	11.44
03:10	42.834	15.63	12.37
03:13	46.002	17.61	12.76
03:17	41.512	17.93	13.17
03:20	41.184	16.2	13.12
03:23	49.945	18.33	9.99
03:27	48.325	15.56	12.75
03:30	48.409	15.97	12.76
03:34	47.082	16.18	12.92
03:37	51.451	16.88	13.1
03:40	45.004	16.74	12.77
03:44	42.187	16.79	13.37
03:47	48.998	16.8	13.39
03:51	44.87	16.24	12.09
03:54	48.874	15.97	11.47
03:57	48.812	16.72	12.72
04:01	45.544	17.15	12.88
04:04	50.691	17.23	13.19
04:07	45.668	17.66	12.65
04:11	45.803	16.32	12.73
04:14	42.184	17.32	12.87
04:18	44.262	15.67	11.34
04:21	43.628	17.09	12.35
04:24	71.334	13.82	11.74
04:28	49.639	17.47	11.91
04:31	55.847	13.5	12.51
04:35	48.842	13.06	12.99
04:38	51.888	14.44	12.93
04:41	55.485	17.27	12.18
04:45	50.379	15.96	9.04
04:48	51.032	15.82	10.33
04:51	53.186	15.52	12.83
04:55	51.82	16.15	12.31
04:58	47.809	14.44	12.93
05:02	49.942	15.22	11.91
05:05	54.281	14.09	13.0
05:08	52.744	14.19	12.66
05:12	47.654	11.57	12.32
05:15	55.081	13.58	10.85
05:19	41.215	14.32	13.18
05:22	51.08	13.98	13.28
05:25	63.925	12.28	13.05
05:29	48.166	13.23	12.69
05:32	49.187	10.45	11.73
05:36	47.871	13.81	12.93
05:39	52.509	13.34	11.77
05:42	47.548	14.04	12.83
05:46	49.425	11.07	12.53
